"passportArea","weight","firstName","middleName","lastName","currentTeamId","birthDate","height","role","birthArea","wyId","foot","shortName","currentNationalTeamId","birthYear","birthMonth"
"Germany",85,"Nils",NA,"Petersen",2453,"1988-12-06",188,"Forward","Germany",14734,"right","N. Petersen",NA,1988,12
"Germany",84,"Sven",NA,"Ulreich",2444,"1988-08-03",192,"Goalkeeper","Germany",14736,"right","S. Ulreich",NA,1988,8
"Italy",82,"Cristian",NA,"Molinaro",3185,"1983-07-30",182,"Defender","Italy",14745,"left","C. Molinaro",NA,1983,7
"Sierra Leone",85,"Antonio",NA,"R\u00fcdiger",1610,"1993-03-03",191,"Defender","Germany",14748,"right","A. R\u00fcdiger",3148,1993,3
"Japan",74,"Gotoku",NA,"Sakai",2450,"1991-03-14",176,"Defender","United States",14749,"right","G. Sakai",12913,1991,3
"Germany",81,"Christian",NA,"Gentner",2445,"1985-08-14",189,"Midfielder","Germany",14754,"right","C. Gentner",NA,1985,8
"Serbia",81,"Zdravko",NA,"Kuzmanovi\u0107",683,"1987-09-22",185,"Midfielder","Switzerland",14757,"right","Z. Kuzmanovi\u0107",NA,1987,9
"Guinea",61,"Ibrahima",NA,"Traor\u00e9",2454,"1988-04-21",171,"Midfielder","France",14758,"left","I. Traor\u00e9",NA,1988,4
"Austria",80,"Martin",NA,"Harnik",2455,"1987-06-10",185,"Forward","Germany",14760,"right","M. Harnik",NA,1987,6
"United States",82,"Vedad",NA,"Ibi\u0161evi\u0107",2457,"1984-08-06",188,"Forward","Bosnia-Herzegovina",14762,"right","V. Ibi\u0161evi\u0107",10001,1984,8
"Japan",70,"Shinji",NA,"Okazaki",1631,"1986-04-16",174,"Forward","Japan",14763,"right","S. Okazaki",12913,1986,4
"Germany",83,"Julian",NA,"Schieber",2457,"1989-02-13",186,"Forward","Germany",14764,"left","J. Schieber",NA,1989,2
"Germany",87,"Ren\u00e9",NA,"Adler",2460,"1985-01-15",191,"Goalkeeper","Germany",14766,"right","R. Adler",NA,1985,1
"Germany",93,"Fabian",NA,"Giefer",2481,"1990-05-17",196,"Goalkeeper","Germany",14767,"right","F. Giefer",NA,1990,5
"Germany",83,"Bernd",NA,"Leno",2446,"1992-03-04",190,"Goalkeeper","Germany",14768,"right","B. Leno",NA,1992,3
"Spain",74,"Gonzalo",NA,"Castro Randon",2447,"1987-06-11",172,"Midfielder","Germany",14770,"right","G. Castro",NA,1987,6
"Croatia",84,"Vedran",NA,"\u0106orluka",13887,"1986-02-05",192,"Defender","Bosnia-Herzegovina",14771,"right","V. \u0106orluka",9598,1986,2
"Angola",85,"Danny ",NA,"Vieira da Costa",2462,"1993-07-13",187,"Defender","Germany",14772,"right","D. da Costa",NA,1993,7
"Germany",85,"Bastian",NA,"Oczipka",2449,"1989-01-12",185,"Defender","Germany",14775,"left","B. Oczipka",NA,1989,1
"Italy",71,"Valent\u00edn",NA,"Vada",3772,"1996-03-06",175,"Midfielder","Argentina",276920,"right","V. Vada",NA,1996,3
"Turkey",83,"\u00d6mer",NA,"Toprak",2447,"1989-07-21",186,"Defender","Germany",14778,"right","\u00d6. Toprak",NA,1989,7
"Germany",81,"Lars",NA,"Bender",2446,"1989-04-27",185,"Midfielder","Germany",14781,"right","L. Bender",NA,1989,4
"Brazil",86,"Renato ",NA,"Soares de Oliveira Augusto",9130,"1988-02-08",186,"Midfielder","Brazil",14785,"right","Renato Augusto",6380,1988,2
"Morocco",80,"Karim",NA,"Bellarabi",2446,"1990-04-08",183,"Midfielder","Germany",14786,"right","K. Bellarabi",NA,1990,4
"Turkey",90,"Eren",NA,"Derdiyok",4492,"1988-06-12",191,"Forward","Switzerland",14787,"right","E. Derdiyok",NA,1988,6
"Germany",81,"Stefan",NA,"Kie\u00dfling",NA,"1984-01-25",191,"Forward","Germany",14788,"right","S. Kie\u00dfling",NA,1984,1
"Germany",73,"Andr\u00e9",NA,"Sch\u00fcrrle",2447,"1990-11-06",184,"Forward","Germany",14789,"right","A. Sch\u00fcrrle",NA,1990,11
"Germany",90,"Roman",NA,"Weidenfeller",NA,"1980-08-06",190,"Goalkeeper","Germany",14794,"left","R. Weidenfeller",NA,1980,8
"Germany",92,"Mats ",NA,"Hummels",2444,"1988-12-16",191,"Defender","Germany",14795,"right","M. Hummels",3148,1988,12
"Poland",79,"\u0141ukasz",NA,"Piszczek",2447,"1985-06-03",184,"Defender","Poland",14798,"right","\u0141. Piszczek",13869,1985,6
"Ivoire""",72,"Jonathan",NA,"Bamba",3782,"1996-03-26",175,"Forward","France",276944,"right","J. Bamba",4425,1996,3
"United States",83,"Neven",NA,"Suboti\u0107",3782,"1988-12-10",191,"Defender","Serbia",14801,"right","N. Suboti\u0107",NA,1988,12
"Germany",78,"Marvin",NA,"Bakalorz",2455,"1989-09-13",180,"Midfielder","Germany",14802,"right","M. Bakalorz",NA,1989,9
"Germany",80,"Sven",NA,"Bender",2446,"1989-04-27",186,"Defender","Germany",14803,"right","S. Bender",NA,1989,4
"Poland",77,"Jakub",NA,"B\u0142aszczykowski",2451,"1985-12-14",176,"Midfielder","Poland",14804,"right","J. B\u0142aszczykowski",13869,1985,12
"Germany",75,"Mario",NA,"G\u00f6tze",2447,"1992-06-03",176,"Midfielder","Germany",14806,"right","M. G\u00f6tze",NA,1992,6
"Germany",80,"\u0130lkay",NA,"G\u00fcndo\u011fan",1625,"1990-10-24",180,"Midfielder","Germany",14808,"right","\u0130. G\u00fcndo\u011fan",3148,1990,10
"Croatia",80,"Ivan",NA,"Peri\u0161i\u0107",3161,"1989-02-02",186,"Midfielder","Croatia",14812,"right","I. Peri\u0161i\u0107",9598,1989,2
"Japan",68,"Shinji",NA,"Kagawa",2447,"1989-03-17",175,"Midfielder","Japan",14816,"right","S. Kagawa",12913,1989,3
"Poland",79,"Robert",NA,"Lewandowski",2444,"1988-08-21",185,"Forward","Poland",14817,"right","R. Lewandowski",13869,1988,8
"Germany",99,"Michael",NA,"Esser",2455,"1987-11-22",198,"Goalkeeper","Germany",14821,"right","M. Esser",NA,1987,11
"Germany",85,"Andreas",NA,"Luthe",2481,"1987-03-10",195,"Goalkeeper","Germany",14822,"right","A. Luthe",NA,1987,3
"Senegal",74,"Adama",NA,"Diakhaby",19830,"1996-07-05",188,"Forward","France",276978,"left","A. Diakhaby",4425,1996,7
"Senegal",73,"Ferland",NA,"Mendy",3766,"1995-06-08",178,"Defender","France",276979,"left","F. Mendy",NA,1995,6
"Japan",63,"Takashi",NA,"Inui",684,"1988-06-02",169,"Midfielder","Japan",14836,"right","T. Inui",12913,1988,6
"Germany",76,"Christoph",NA,"Kramer",2454,"1991-02-19",191,"Midfielder","Germany",14838,"right","C. Kramer",NA,1991,2
"Belgium",77,"Isaac",NA,"Mbenza",3787,"1996-03-08",187,"Forward","France",276983,"right","I. Mbenza",5635,1996,3
"Germany",85,"Kevin",NA,"Vogt",2482,"1991-09-23",194,"Defender","Germany",14842,"right","K. Vogt",NA,1991,9
"Germany",85,"Daniel",NA,"Ginczek",2445,"1991-04-13",190,"Forward","Germany",14845,"right","D. Ginczek",NA,1991,4
"Germany",95,"Ralf",NA,"F\u00e4hrmann",2449,"1988-09-27",196,"Goalkeeper","Germany",14847,"right","R. F\u00e4hrmann",NA,1988,9
"Spain",72,"Sergio",NA,"Escudero Palomo",680,"1989-09-02",176,"Defender","Spain",14852,"left","Sergio Escudero",NA,1989,9
"Germany",82,"Benedikt",NA,"H\u00f6wedes",3159,"1988-02-29",187,"Defender","Germany",14855,"right","B. H\u00f6wedes",NA,1988,2
"Greece",87,"Kyriakos",NA,"Papadopoulos",2450,"1992-02-23",185,"Defender","Greece",14857,"right","K. Papadopoulos",12678,1992,2
"Germany",72,"Julian",NA,"Draxler",3767,"1993-09-20",187,"Midfielder","Germany",14862,"right","J. Draxler",3148,1993,9
"Germany",83,"Marco",NA,"H\u00f6ger",2463,"1989-09-16",182,"Midfielder","Germany",14863,"right","M. H\u00f6ger",NA,1989,9
"England",72,"Lewis Harry",NA,"Holtby",2450,"1990-09-18",176,"Midfielder","Germany",14864,"left","L. Holtby",NA,1990,9
"Spain",76,"Jos\u00e9 Manuel",NA,"Jurado Mar\u00edn",691,"1986-06-29",174,"Midfielder","Spain",14866,"right","Jurado",NA,1986,6
"Brazil",67,"F\u00e1gner",NA,"Conserva Lemos",5656,"1989-06-11",168,"Defender","Brazil",40707,"right","F\u00e1gner",6380,1989,6
"Peru",84,"Jefferson Agustin",NA,"Farf\u00e1n Guadalupe",13887,"1984-10-26",178,"Forward","Peru",14872,"right","J. Farf\u00e1n",15594,1984,10
"Czech Republic",86,"Jaroslav",NA,"Drobn\u00fd",2443,"1979-10-18",190,"Goalkeeper","Czech Republic",14882,"right","J. Drobn\u00fd",NA,1979,10
"Germany",85,"Tom",NA,"Mickel",2450,"1989-04-19",184,"Goalkeeper","Germany",14883,"right","T. Mickel",NA,1989,4
"Nigeria",85,"Dennis",NA,"Aogo",2445,"1987-01-14",184,"Defender","Germany",14885,"left","D. Aogo",NA,1987,1
"Suriname",88,"Jeffrey ",NA,"Bruma",2451,"1991-11-13",190,"Defender","Netherlands",14887,"right","J. Bruma",NA,1991,11
"Germany",79,"Dennis",NA,"Diekmeier",NA,"1989-10-20",188,"Defender","Germany",14888,"right","D. Diekmeier",NA,1989,10
"Serbia",85,"Gojko",NA,"Ka\u010dar",NA,"1987-01-26",185,"Midfielder","Serbia",14900,"right","G. Ka\u010dar",NA,1987,1
"Venezuela",76,"Tom\u00e1s Eduardo",NA,"Rinc\u00f3n Hern\u00e1ndez",3185,"1988-01-13",177,"Midfielder","Venezuela",14903,"right","T. Rinc\u00f3n",NA,1988,1
"Italy",75,"Jacopo",NA,"Sala",3164,"1991-12-05",181,"Defender","Italy",14904,"right","J. Sala",NA,1991,12
"Norway",74,"Per Ciljan",NA,"Skjelbred",2457,"1987-06-16",175,"Midfielder","Norway",14905,"right","P. Skjelbred",NA,1987,6
"Korea Republic",77,"Heung-Min",NA,"Son",1624,"1992-07-08",183,"Forward","Korea Republic",14911,"right","Son Heung-Min",14855,1992,7
"Italy",89,"Diego",NA,"Benaglio",19830,"1983-09-08",194,"Goalkeeper","Switzerland",14913,"right","D. Benaglio",NA,1983,9
"Switzerland",86,"Marwin",NA,"Hitz",2481,"1987-09-18",193,"Goalkeeper","Switzerland",14914,"right","M. Hitz",NA,1987,9
"Germany",77,"Robin",NA,"Knoche",2451,"1992-05-22",190,"Defender","Germany",14917,"right","R. Knoche",NA,1992,5
"Chile",77,"Ricardo Iv\u00e1n",NA,"Rodr\u00edguez Araya",3157,"1992-08-25",180,"Defender","Switzerland",14922,"left","R. Rodr\u00edguez",6697,1992,8
"Germany",88,"Marco",NA,"Russ",2462,"1985-08-04",190,"Defender","Germany",14923,"right","M. Russ",NA,1985,8
"Japan",72,"Makoto",NA,"Hasebe",2462,"1984-01-18",180,"Midfielder","Japan",14929,"right","M. Hasebe",12913,1984,1
"Germany",74,"Maximilian",NA,"Arnold",2451,"1994-05-27",184,"Midfielder","Germany",14938,"left","M. Arnold",NA,1994,5
"Portugal",70,"Adelino Andr\u00e9 ",NA,"Vieira Freitas",12510,"1986-01-24",172,"Midfielder","Portugal",14940,"right","Vieirinha",NA,1986,1
"Croatia",84,"Mario",NA,"Mand\u017euki\u0107",3159,"1986-01-14",187,"Forward","Croatia",14943,"right","M. Mand\u017euki\u0107",9598,1986,1
"Ivoire""",80,"Giovanni-Guy Yann",NA,"Sio",3787,"1989-03-31",180,"Forward","France",14945,"left","G. Sio",NA,1989,3
"Colombia",84,"Damir",NA,"Ceter Valencia",3173,"1997-11-02",187,"Forward","Colombia",335634,"right","D. Ceter",12436,1997,11
"South Africa",70,"Keagan",NA,"Dolly",3787,"1993-01-22",170,"Forward","South Africa",244335,"left","K. Dolly",16424,1993,1
"Germany",82,"Oliver",NA,"Baumann",2482,"1990-06-02",187,"Goalkeeper","Germany",14979,"right","O. Baumann",NA,1990,6
"South Africa",76,"Bongani",NA,"Zungu",3789,"1992-10-09",184,"Midfielder","South Africa",244357,"right","B. Zungu",16424,1992,10
"Germany",69,"Oliver",NA,"Sorg",2455,"1990-05-29",175,"Defender","Germany",14988,"right","O. Sorg",NA,1990,5
"Italy",80,"Daniel",NA,"Caligiuri",2449,"1988-01-15",182,"Midfielder","Germany",14989,"right","D. Caligiuri",NA,1988,1
"France",78,"Fallou",NA,"Diagne",3777,"1989-08-14",185,"Defender","Senegal",14990,"right","F. Diagne",NA,1989,8
"Germany",89,"Matthias",NA,"Ginter",2454,"1994-01-19",191,"Defender","Germany",14991,"right","M. Ginter",3148,1994,1
"Slovakia",87,"Karim",NA,"Gu\u00e9d\u00e9",2453,"1985-01-07",184,"Forward","Togo",14992,"right","K. Gu\u00e9d\u00e9",NA,1985,1
"Slovakia",81,"Martin",NA,"\u0160krtel",4487,"1984-12-15",191,"Defender","Slovakia",7960,"right","M. \u0160krtel",14496,1984,12
"Austria",79,"Jonathan",NA,"Schmid",2481,"1990-06-26",179,"Midfielder","France",14997,"right","J. Schmid",NA,1990,6
"Germany",80,"Julian",NA,"Schuster",NA,"1985-04-15",189,"Midfielder","Germany",14998,"right","J. Schuster",NA,1985,4
"Croatia",90,"Ivan",NA,"Santini",3783,"1989-05-21",190,"Forward","Croatia",15004,"right","I. Santini",NA,1989,5
"Germany",85,"Marc-Andr\u00e9",NA,"ter Stegen",676,"1992-04-30",187,"Goalkeeper","Germany",15008,"right","M. ter Stegen",3148,1992,4
"Brazil",89,"Dante Bonfim",NA,"da Costa Santos",3775,"1983-10-18",188,"Defender","Brazil",15010,"left","Dante",NA,1983,10
"Norway",83,"H\u00e5vard",NA,"Nordtveit",2482,"1990-06-21",188,"Midfielder","Norway",15012,"right","H. Nordtveit",7336,1990,6
"Sweden",82,"Oscar",NA,"Wendt",2454,"1985-10-24",181,"Defender","Sweden",15014,"left","O. Wendt",NA,1985,10
"Germany",76,"Matthias",NA,"Zimmermann",2445,"1992-06-16",177,"Midfielder","Germany",15015,"right","M. Zimmermann",NA,1992,6
"Germany",76,"Tony",NA,"Jantschke",2454,"1990-04-07",177,"Defender","Germany",15019,"right","T. Jantschke",NA,1990,4
"Australia",82,"Mathew",NA,"Leckie",2457,"1991-02-04",181,"Forward","Australia",15020,"right","M. Leckie",8493,1991,2
"Germany",83,"Roman Petrovich",NA,"Neust\u00e4dter",4487,"1988-02-18",188,"Defender","Russia",15022,"right","R. Neust\u00e4dter",NA,1988,2
"Germany",71,"Marco",NA,"Reus",2447,"1989-05-31",180,"Forward","Germany",15024,"right","M. Reus",3148,1989,5
"Germany",81,"Ron-Robert",NA,"Zieler",2445,"1989-02-12",188,"Goalkeeper","Germany",15032,"right","R. Zieler",NA,1989,2
"Germany",78,"Konstantin",NA,"Rausch",13889,"1990-03-15",182,"Defender","Russia",15039,"left","K. Rausch",NA,1990,3
"Germany",70,"Manuel",NA,"Schmiedebach",2455,"1988-12-05",171,"Midfielder","Germany",15050,"right","M. Schmiedebach",NA,1988,12
"Germany",80,"Lars",NA,"Stindl",2454,"1988-08-26",181,"Forward","Germany",15051,"right","L. Stindl",NA,1988,8
"Senegal",79,"Mame Biram",NA,"Diouf",1639,"1987-12-16",185,"Forward","Senegal",15054,"right","M. Diouf",19314,1987,12
"Germany",78,"Tobias",NA,"Sippel",2454,"1988-03-22",183,"Goalkeeper","Germany",15061,"right","T. Sippel",NA,1988,3
"Germany",88,"Kevin",NA,"Trapp",3767,"1990-07-08",189,"Goalkeeper","Germany",15062,"right","K. Trapp",3148,1990,7
"France",83,"Lucas",NA,"Tousart",3766,"1997-04-29",185,"Midfielder","France",342743,"right","L. Tousart",4425,1997,4
"Peru",78,"Renato Fabrizio",NA,"Tapia Cortijo",12,"1995-07-28",182,"Midfielder","Peru",139075,"right","R. Tapia",15594,1995,7
"Hungary",82,"Willi",NA,"Orban",2975,"1992-11-03",186,"Defender","Germany",15069,"right","W. Orban",NA,1992,11
"Turkey",71,"Olcay",NA,"\u015eahan",4488,"1987-05-26",179,"Midfielder","Germany",15076,"right","O. \u015eahan",NA,1987,5
"Denmark",84,"Nicolai",NA,"J\u00f8rgensen",12,"1991-01-15",190,"Forward","Denmark",15080,"right","N. J\u00f8rgensen",7712,1991,1
"Germany",92,"Sandro",NA,"Wagner",2444,"1987-11-29",194,"Forward","Germany",15085,"right","S. Wagner",NA,1987,11
"Germany",78,"Thomas",NA,"Kraft",2457,"1988-07-22",187,"Goalkeeper","Germany",15090,"right","T. Kraft",NA,1988,7
"Germany",78,"Christoph",NA,"Janker",2481,"1985-02-14",185,"Defender","Germany",15095,"right","C. Janker",NA,1985,2
"Switzerland",70,"Fabian",NA,"Lustenberger",2457,"1988-05-02",180,"Defender","Switzerland",15103,"right","F. Lustenberger",NA,1988,5
"Brazil",69,"Raffael",NA,"Caetano de Ara\u00fajo",2454,"1985-03-28",174,"Forward","Brazil",15107,"right","Raffael",NA,1985,3
"Slovenia",85,"Dominik",NA,"Maroh",NA,"1987-03-04",186,"Defender","Germany",15122,"right","D. Maroh",NA,1987,3
"Germany",76,"Marvin",NA,"Plattenhardt",2457,"1992-01-26",181,"Defender","Germany",15125,"left","M. Plattenhardt",3148,1992,1
"Germany",88,"Philipp",NA,"Wollscheid",NA,"1989-03-06",194,"Defender","Germany",15126,"right","P. Wollscheid",NA,1989,3
"Germany",78,"Daniel",NA,"Didavi",2451,"1990-02-21",180,"Midfielder","Germany",15129,"left","D. Didavi",NA,1990,2
"Germany",80,"Mike",NA,"Frantz",2453,"1986-10-14",182,"Midfielder","Germany",15131,"right","M. Frantz",NA,1986,10
"United States",84,"Timothy",NA,"Chandler",2462,"1990-03-29",186,"Defender","Germany",15139,"right","T. Chandler",NA,1990,3
"Germany",85,"Alexander",NA,"Esswein",2457,"1990-03-25",183,"Midfielder","Germany",15141,"right","A. Esswein",NA,1990,3
"Slovakia",78,"R\u00f3bert",NA,"Mak",12510,"1991-03-08",179,"Forward","Slovakia",15142,"right","R. Mak",14496,1991,3
"Germany",86,"Stefan",NA,"Bell",2460,"1991-08-24",192,"Defender","Germany",15178,"right","S. Bell",NA,1991,8
"Germany",75,"Niko",NA,"Bungert",2460,"1986-10-24",188,"Defender","Germany",15179,"right","N. Bungert",NA,1986,10
"Austria",82,"Julian",NA,"Baumgartlinger",2446,"1988-01-02",183,"Midfielder","Austria",15188,"right","J. Baumgartlinger",9109,1988,1
"Turkey",72,"Yunus",NA,"Mall\u0131",2451,"1992-02-24",179,"Midfielder","Germany",15191,"right","Y. Mall\u0131",4687,1992,2
"Germany",66,"Nicolai",NA,"M\u00fcller",2450,"1987-09-25",173,"Midfielder","Germany",15192,"right","N. M\u00fcller",NA,1987,9
"Germany",78,"Eugen",NA,"Polanski",NA,"1986-03-17",183,"Midfielder","Poland",15193,"right","E. Polanski",NA,1986,3
"Germany",75,"Marcel",NA,"Risse",2463,"1989-12-17",183,"Midfielder","Germany",15194,"right","M. Risse",NA,1989,12
"Croatia",73,"Mario",NA,"Gavranovi\u0107",9417,"1989-11-24",175,"Forward","Switzerland",15199,"right","M. Gavranovi\u0107",6697,1989,11
"Hungary",90,"\u00c1d\u00e1m",NA,"Szalai",2482,"1987-12-09",193,"Forward","Hungary",15200,"right","\u00c1. Szalai",NA,1987,12
"Nigeria",75,"Anthony",NA,"Ujah",2460,"1990-10-14",183,"Forward","Nigeria",15201,"right","A. Ujah",NA,1990,10
"Serbia",71,"Antonio",NA,"Rukavina",11042,"1984-01-26",176,"Defender","Serbia",15214,"right","A. Rukavina",17322,1984,1
"Germany",68,"Sebastian",NA,"Maier",2455,"1993-09-18",179,"Midfielder","Germany",15225,"right","S. Maier",NA,1993,9
"Brazil",82,"Jo\u00e3o Felipe",NA,"Schmidt Urbano",3172,"1993-05-19",184,"Midfielder","Brazil",40767,"left","Jo\u00e3o Schmidt",NA,1993,5
"Germany",81,"Kevin",NA,"Volland",2446,"1992-07-30",179,"Forward","Germany",15231,"left","K. Volland",NA,1992,7
"United States",79,"Bobby Shou",NA,"Wood",2450,"1992-11-15",180,"Forward","United States",15232,"right","B. Wood",8134,1992,11
"Germany",92,"Thomas",NA,"Kessler",2463,"1986-01-20",197,"Goalkeeper","Germany",15235,"right","T. Kessler",NA,1986,1
"Germany",72,"Sebastian",NA,"Jung",2451,"1990-06-22",179,"Defender","Germany",15244,"right","S. Jung",NA,1990,6
"Cape Verde Islands",80,"R\u00faben Miguel",NA,"Nunes Vezo",674,"1994-04-25",182,"Defender","Portugal",211853,"right","R\u00faben Vezo",NA,1994,4
"Germany",75,"Matthias",NA,"Lehmann",2463,"1983-05-28",179,"Midfielder","Germany",15253,"right","M. Lehmann",NA,1983,5
"Germany",96,"Alexander",NA,"Meier",NA,"1983-01-17",196,"Forward","Germany",15254,"right","A. Meier",NA,1983,1
"Switzerland",74,"Pirmin",NA,"Schwegler",2455,"1987-03-09",178,"Midfielder","Switzerland",15256,"right","P. Schwegler",NA,1987,3
"Germany",90,"Timo",NA,"Horn",2463,"1993-05-12",192,"Goalkeeper","Germany",15265,"left","T. Horn",NA,1993,5
"Italy",84,"Pedro",NA,"Tonon Geromel",5649,"1985-09-21",190,"Defender","Brazil",15272,"right","Geromel",6380,1985,9
"Germany",67,"Mitchell",NA,"Weiser",2457,"1994-04-21",176,"Midfielder","Germany",15276,"right","M. Weiser",NA,1994,4
"Portugal",84,"Andr\u00e9 Filipe",NA,"Tavares Gomes",676,"1993-07-30",188,"Midfielder","Portugal",211885,"right","Andr\u00e9 Gomes",NA,1993,7
"Germany",79,"Christian",NA,"Clemens",2463,"1991-08-04",179,"Midfielder","Germany",15278,"right","C. Clemens",NA,1991,8
"Poland",69,"S\u0142awomir",NA,"Peszko",13559,"1985-02-19",173,"Midfielder","Poland",15282,"right","S. Peszko",13869,1985,2
"Germany",70,"Sascha",NA,"Riether",2449,"1983-03-23",174,"Defender","Germany",15284,"right","S. Riether",NA,1983,3
"Albania",80,"Odise",NA,"Roshi",13898,"1991-05-22",187,"Midfielder","Albania",15285,"right","O. Roshi",NA,1991,5
"Germany",74,"Mark",NA,"Uth",2482,"1991-08-24",185,"Forward","Germany",15292,"left","M. Uth",NA,1991,8
"Brazil",63,"Leonardo",NA,"Bittencourt",2463,"1993-12-19",171,"Midfielder","Germany",15317,"right","L. Bittencourt",NA,1993,12
"Spain",78,"Math\u00edas",NA,"Olivera Miramontes",698,"1997-10-31",184,"Defender","Uruguay",375771,"left","M. Olivera",NA,1997,10
"Morocco",90,"Anwar",NA,"El Ghazi",3776,"1995-05-03",189,"Forward","Netherlands",286553,"right","A. El Ghazi",NA,1995,5
"Argentina",77,"Maximiliano Eduardo",NA,"Meza",12062,"1992-12-15",180,"Midfielder","Argentina",146459,"right","M. Meza",12274,1992,12
"Germany",70,"Daniel",NA,"Brosinski",2460,"1988-07-17",178,"Defender","Germany",15399,"right","D. Brosinski",NA,1988,7
"Germany",78,"Nicolas",NA,"H\u00f6fler",2453,"1990-03-09",181,"Midfielder","Germany",15430,"right","N. H\u00f6fler",NA,1990,3
"France",73,"Morgan",NA,"Poaty",3787,"1997-07-15",177,"Defender","France",343116,"left","M. Poaty",NA,1997,7
"Germany",86,"Max",NA,"Gr\u00fcn",NA,"1987-04-05",190,"Goalkeeper","Germany",15444,"right","M. Gr\u00fcn",NA,1987,4
"Albania",84,"M\u00ebrgim",NA,"Mavraj",NA,"1986-06-09",189,"Defender","Germany",15449,"left","M. Mavraj",NA,1986,6
"Germany",81,"Johannes",NA,"Geis",680,"1993-08-17",181,"Midfielder","Germany",15455,"right","J. Geis",NA,1993,8
"Germany",79,"Felix",NA,"Klaus",2455,"1992-09-13",179,"Midfielder","Germany",15456,"right","F. Klaus",NA,1992,9
"France",69,"Pierre",NA,"Lees Melou",3775,"1993-05-25",185,"Midfielder","France",277629,"right","P. Lees Melou",NA,1993,5
"Germany",78,"Janik",NA,"Haberer",2453,"1994-04-02",186,"Midfielder","Germany",15487,"right","J. Haberer",NA,1994,4
"Germany",87,"Marc-Oliver",NA,"Kempf",2453,"1995-01-28",186,"Defender","Germany",146569,"left","M. Kempf",NA,1995,1
"Germany",86,"Florian",NA,"Niederlechner",2453,"1990-10-24",186,"Forward","Germany",15503,"right","F. Niederlechner",NA,1990,10
"Germany",82,"Julian",NA,"Brandt",2446,"1996-05-02",183,"Midfielder","Germany",146583,"right","J. Brandt",3148,1996,5
"Germany",89,"Alexander",NA,"Stolz",2482,"1983-10-13",189,"Goalkeeper","Germany",15512,"right","A. Stolz",NA,1983,10
"Italy",78,"Alessio",NA,"Romagnoli",3157,"1995-01-12",188,"Defender","Italy",146588,"left","A. Romagnoli",NA,1995,1
"Italy",75,"Federico",NA,"Mattiello",3204,"1995-07-14",182,"Defender","Italy",146590,"right","F. Mattiello",NA,1995,7
"Turkey",76,"Hakan",NA,"\u00c7alhano\u011flu",3157,"1994-02-08",178,"Midfielder","Germany",15524,"right","H. \u00c7alhano\u011flu",NA,1994,2
"Italy",74,"Marco",NA,"Terrazzino",2453,"1991-04-15",176,"Forward","Germany",15533,"right","M. Terrazzino",NA,1991,4
"Germany",70,"Simon",NA,"Zoller",2463,"1991-06-26",179,"Forward","Germany",15543,"right","S. Zoller",NA,1991,6
"Brazil",65,"Jonathan Renato",NA,"Barbosa",3772,"1991-07-10",173,"Forward","Brazil",48318,"right","Jonathan Cafu",NA,1991,7
"Portugal",73,"Bruno Andr\u00e9",NA,"Cavaco Jord\u00e3o",3162,"1998-10-12",180,"Midfielder","Portugal",401277,"right","Bruno Jord\u00e3o",9911,1998,10
"Tunisia",71,"Bassem ",NA,"Srarfi",3775,"1997-06-25",176,"Midfielder","Tunisia",408827,"left","B. Srarfi",16276,1997,6
"Paraguay",85,"Gustavo Ra\u00fal",NA,"G\u00f3mez Portillo",5646,"1993-05-06",185,"Defender","Paraguay",113927,"right","G. G\u00f3mez",15516,1993,5
"Iceland",89,"Hannes \u00de\u00f3r",NA,"Halld\u00f3rsson",12444,"1987-04-27",194,"Goalkeeper","Iceland",57226,"right","H. Halld\u00f3rsson",7839,1987,4
"Uruguay",80,"Mart\u00edn Andr\u00e9s",NA,"Silva Leites",5657,"1983-03-25",187,"Goalkeeper","Uruguay",113995,"right","M. Silva",15670,1983,3
"Germany",70,"Marcel",NA,"Heller",2481,"1986-02-12",176,"Midfielder","Germany",15695,"right","M. Heller",NA,1986,2
"Germany",86,"Benjamin",NA,"H\u00fcbner",2482,"1989-07-04",193,"Defender","Germany",15719,"left","B. H\u00fcbner",NA,1989,7
"Iceland",66,"Albert",NA,"Gudmundsson",10,"1997-06-15",177,"Forward","Iceland",216568,"right","A. Gudmundsson",7839,1997,6
"Germany",85,"Sebastian",NA,"Langkamp",2443,"1988-01-15",191,"Defender","Germany",15771,"right","S. Langkamp",NA,1988,1
"Poland",72,"Matthias",NA,"Ostrzolek",2455,"1990-06-05",178,"Defender","Germany",15772,"left","M. Ostrzolek",NA,1990,6
"Netherlands",74,"Paul",NA,"Verhaegh",2451,"1983-09-01",178,"Defender","Netherlands",15775,"right","P. Verhaegh",NA,1983,9
"Germany",78,"Daniel",NA,"Baier",2481,"1984-05-18",176,"Midfielder","Germany",15777,"right","D. Baier",NA,1984,5
"Korea Republic",79,"Ja-Cheol",NA,"Koo",2481,"1989-02-27",183,"Midfielder","Korea Republic",15781,"right","Ja-Cheol Koo",14855,1989,2
"Czech Republic",77,"Jan",NA,"Mor\u00e1vek",2481,"1989-11-01",180,"Midfielder","Czech Republic",15782,"right","J. Mor\u00e1vek",NA,1989,11
"Belgium",86,"Koen",NA,"Casteels",2451,"1992-06-25",197,"Goalkeeper","Belgium",15795,"left","K. Casteels",5629,1992,6
